v1,v2
Normal,The prebid meeting is tomorrow from 3:00 to 5:00 in ECS 5075.
Normal,"I know that this is a difficult time for all of us. With everything going on inside the company as well as in the world around us, we have been carefully considering whether a holiday celebration is appropriate this year. To be honest, employee feedback has been mixed. Many viewed the holiday party as a unique opportunity for us to come together as Enron employees to share the spirit of the season. Others felt a holiday party would be improper given the company's current circumstances. After weighing these points of view, we have ultimately decided to cancel the all-Enron holiday party that was scheduled for December 8. Given what has transpired over the past month, it could be considered imprudent for Enron to incur the expense of such an event. I regret that this action is necessary because I recognize that your hard work throughout the year merits a holiday celebration and so much more. We will attempt to find other, more appropriate ways to recognize your outstanding contributions as we move into the holiday season. Ken Lay"
Normal,This request has been pending your approval for 29 days. Please click to review and act upon this request. Request ID : 000000000067320 Request Create Date : 10/11/01 10:24:53 AM Requested For : matt.smith@enron.com Resource Name : Risk Acceptance Forms Local Admin Rights - Permanent Resource Type : Applications
Normal,"PLEASE NOTE: Call-in information will change weekly. The call-in information for the Tuesday Portland Fundamental Analysis Strategy Meeting is as follows: Date: Tuesday, 11/20/01 Time: 1:00 p.m. (PST) Dial In Number: 888-296-1938 Participant Code: 805775 If you have any questions, please contact Kathy Sheppard at 503-464-7698. Thanks."
Normal,This request has been pending your approval for 53 days. Please click to review and act upon this request. Request ID : 000000000067320 Request Create Date : 10/11/01 10:24:53 AM Requested For : matt.smith@enron.com Resource Name : Risk Acceptance Forms Local Admin Rights - Permanent Resource Type : Applications
Normal,"Enron in Action can be accessed through the new Community Relations web site at http://cr.enron.com/eia.html . In this week's issue you will find out information regarding: Enron Happenings Sponsor a Child - Win a Ticket to Cirqie du Solei Enron Volunteer Opportunities Saint Nicholas Needs Your Help! Nutcracker Volunteer Opportunity Camp Noah - Daycamp for Children Recovering from Disaster Thanksgiving Volunteer Opportunity Enron Wellness Holiday Fashion Show & Luncheon Weight Watchers In addition, Enron in Action is available through a channel on my.home.enron.com. To add this channel to your set-up click on the channels link at the top of the screen and under announcements check the Enron in Action box. If you wish to add an announcement to Enron in Action, please fill out the attached form below and submit it to mailto:eia@enron.com no later than 12 PM Thursday each week."
Normal,"Please review this file every day. Biliana will be posting this file on the web in the near future. The summary includes all desk to desk deals. Mike -----Original Message----- From: Pehlivanova, Biliana Sent: Monday, November 19, 2001 3:46 PM To: Allen, Phillip K.; Ermis, Frank; Gay, Randall L.; Grigsby, Mike; Holst, Keith; Kuykendall, Tori; Lenhart, Matthew; Reitmeyer, Jay; Scott, Susan M.; Smith, Matt; South, Steven P.; Tholt, Jane M.; Wolfe, Jason Subject: Desk to Desk Deals << File: Desk to Desk Deals 1119.pdf >>"
Normal,Today's Pre-Bid Meeting will be held in 05075 from 3:00 PM to 5:00 PM Patti: Please pass on to the schedulers.
Normal,The report named: West VaR published as of 11/20/2001 is now available for viewing on the website.
Normal,"Tomorrow's meeting will be in Room 43C2. I'll see you at 10:00. If you have any questions, please feel free to call me at Ext. 5-6676. Mery This message is for the designated recipient only and may contain privileged, proprietary, or otherwise private information. If you have received it in error, please notify the sender immediately and delete the original. Any other use of the email by you is prohibited."
Normal,"_____________________DAVID COURSEY_____________________ HOW TO PICK AN ALL-IN-ONE: IT'S THE FORM FACTOR, STUPID I'll say it straight up: There's no perfect device (yet) that combines a cellular phone and a PDA. So finding one you can live with is always a trade-off. My advice? Choose form factor first and live with the compromises. (Or just stick with separate gadgets.) # _____________________NEWS ANALYSIS_____________________ Sylvia Carr APPLE: BRING ON XP... HP'S SPEED BOOST... PENTAGON GOING PRIVATE... Might you Windows users come back to the Mac? Apple thinks so. It's confident its new OS X out-XPs Microsoft XP--enough to entice more than few converts into the Mac fold. But will it work? _____________________EXPERT ADVICE_____________________ John Morris and Josh Taylor WIFI AND BLUETOOTH: TOGETHER AT LAST IN A NOTEBOOK PC Everyone's been talking about wireless networking for some time, but where are the products? Josh and John have found one. The Toshiba Port&#233;g&#233; 4000 is the first notebook they've seen that is ready for the wireless world. > > > > > Wayne Rash CAN YOUR BIZ PASS A SECURITY AUDIT? HERE'S WHY IT MUST A recent review of government computing showed its security was sorely lacking. What about at your company? The nation has paid ample lip service to the importance of tight security, now it's time to act. Wayne tells you how. > > > > > Preston Gralla GOODBYE, BLOATWARE! TRY THESE 3 STRIPPED-DOWN HTML EDITORS Bloatware--fat programs stuffed with useless features--only create an obstacle between you and your beloved coding. You can do better. Preston picks out three downloads that offer just the tools HTML jockeys need. > > > > > _____________________CRUCIAL CLICKS_____________________ Make sure you see these features on ZDNet today! CHECK OUT ZDNET'S COMDEX 2001 BEST OF SHOW DON'T MISS ZDNET'S HOLIDAY GIFT GUIDE GET YOUR VERY OWN LASER PRINTER ******************ELSEWHERE ON ZDNET!****************** Did you miss COMDEX? Get all the details in our special report. Don't miss top price drops from premier vendors at ZDNet Shopper. FREE trial offers from leading business and technology magazines. Find perfect presents in our Holiday Gift Guide. Check out the most popular notebooks, handhelds, cameras, and more. AnchorDesk comes to you free of charge as a service of ZDNet. On its companion Web site, AnchorDesk includes full details on the stories you see above, plus late-breaking news, links to in-depth information, and much more. Visit: http://www.anchordesk.com To subscribe, unsubscribe, or make changes to your subscription, please go to: We are sending this news alert to the address: pallen@ENRON.COM Please make sure to provide this address in all your e-mail messages to us. Thanks! Copyright ? 2001 ZD Inc. ZDNet is a registered service mark of ZD Inc. ZDNet Logo is a service mark of ZD Inc. ###"
Normal,"_____________________DAVID COURSEY_____________________ HO-HO-HOW TO BUY A COMPUTER FOR CHRISTMAS It's that time of year again! If you're considering buying yourself a spiffy new PC (maybe spiced up with a broadband Internet connection?) or are looking to bestow technological riches on someone else this season, don't miss this great advice from Santa David. # _____________________NEWS ANALYSIS_____________________ Sylvia Carr SONY ON DVD FENCE... NEW LOOK FOR LINUX... MS SERVERS ATTACKED... The battle over which DVD format will become the industry standard wages on. Sony's weighed in on which one it prefers, but its stance is hardly decisive. Also, a new graphical interface for Linux and other Unix-like OS's has arrived, and a worm is wreaking havoc on Microsoft SQL servers. _____________________EXPERT ADVICE_____________________ Lee Schlesinger WHY A 'PATCHWORK' APPROACH TO SECURITY IS RIGHT FOR YOUR BIZ If you're concerned about keeping your network safe from hackers, crackers, and worms, there's an easy way to do it: stay up to date with patches. But most organizations don't have a patchwork plan. Lee Schlesinger explains why that's important--and shows you how to take the right approach. > > > > > Larry Dignan WHY CELL PHONE GIANT NOKIA'S GOING GADGET-HAPPY It's not the greatest time to be a wireless company. Nokia's response? Go all out with a slew of new gadget phones. Larry looks at Nokia's attempt to convince you to swap your old phone for a jazzier one. > > > > > Preston Gralla STEAL A DEAL! GET SWEET SAVINGS WITH 3 FREE SHOPPING TOOLS The holiday gift-buying rush is on! This year, don't be caught in crowds at the mall. Shop online instead. Preston finds 3 free shopping companions that make sure you get the best price on all your online purchases. > > > > > _____________________CRUCIAL CLICKS_____________________ Make sure you see these features on ZDNet today! DON'T MISS ZDNET'S HOLIDAY GIFT GUIDE CHECK OUT THIS COOLER THAN COOL DIGITAL CAMERA MIDDLEWARE FRONT AND CENTER IN DOJ SETTLEMENT ******************ELSEWHERE ON ZDNET!****************** Check out the season's best tech gear in our Holiday Gift Guide! Get the latest enterprise application news, reviews and analysis. Browse this week's top 50 tech products at ZDNet Shopper. PCs, notebooks, PDAs, and more -- find perfect gifts for everyone. Does your career need a jumpstart? View over 90,000 job listings. AnchorDesk comes to you free of charge as a service of ZDNet. On its companion Web site, AnchorDesk includes full details on the stories you see above, plus late-breaking news, links to in-depth information, and much more. Visit: http://www.anchordesk.com To subscribe, unsubscribe, or make changes to your subscription, please go to: We are sending this news alert to the address: pallen@ENRON.COM Please make sure to provide this address in all your e-mail messages to us. Thanks! Copyright ? 2001 ZD Inc. ZDNet is a registered service mark of ZD Inc. ZDNet Logo is a service mark of ZD Inc. ###"
Normal,"The following reports have been waiting for your approval for more than 4 days. Please review. Owner: Jane M Tholt Report Name: November 21, 2001 Days In Mgr. Queue: 4"
Normal,"[IMAGE]=09 $10 & Under Patriotic Items Computers Watches/Pens Home & Ki= tchen Personal Care Enjoy BIG Savings on hundreds of items! =09 Phillip, Need some gift ideas? Take a peek at some of the great items wa= iting for you right now in the Reward Points Store: [IMAGE] [IMAGE]Gifts = for him - From the office to golf course to the comforts of the living room= , we've got plenty of can't-miss gifts for men. Electronics, Sports Equipm= ent, DVD Movies [IMAGE]Gifts for her - Find the perfect indulgence for an = unforgettable holiday. Jewelry, Flowers, Gifts [IMAGE]For the person who = has everything - Surprise them with sure-fire gifts. Gift Baskets, Music, = Gift Certificates [IMAGE]Toys Toys Toys! - What would the holidays be with= out toys! Light up the faces of your little elves! Toys & Games, Education= al, Software [IMAGE]Holiday Gifts Center - Find the perfect presents and s= mall luxuries to stuff those stockings! Gift Center, Stocking Stuffers[IMA= GE]Great news for Santa's little helper - we've filled the Reward Points St= ore with hundreds of new items. You're sure to find the perfect gifts that = will land you on everyone's 'Nice' list. Click here to redeem your Reward P= oints now! =09 =09 ------------------------- =09 =09 Forgot your member name? It is: Allen Forgot your iWon password? Click here= : You received this email because when you registered at iWon you agreed = to receive email from us. To unsubscribe from one or more email categories,= please click below. Please note, changes may take up to one week to proces= s. If you're not signed in, you will need to do so before you can update yo= ur profile. Click here. [IMAGE]=09"
Normal,=20 The Energy Insight Staff is off for the holidays. We'll be back in the off= ice with new analysis December 26. Happy Holidays! =20 [IMAGE]=09 [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] = [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IM
Normal,"<HTML> <HEAD> <TITLE>Web Vixens</TITLE> <META HTTP-EQUIV=""Content-Type"" CONTENT=""text/html; charset=iso-8859-1""> </HEAD> <BODY BGCOLOR=#FFFFFF <img width=""1"" height=""1""> <!-- ImageReady Slices (mail2.psd) --> <p align=""center""><b><font size=""5"" face=""Verdana, Arial, Helvetica, sans-serif"" color=""#FF0000""><i><a color=""#FFFF00"">FULL ACCESS TO NASTY <center> <TABLE WIDTH=446 BORDER=0 CELLPADDING=0 CELLSPACING=0> <TR> <TD> <a WIDTH=143 HEIGHT=104 border=""0""></a></TD> <TD> <a WIDTH=303 HEIGHT=104 border=""0""></a></TD> </TR> <TR> <TD> <a WIDTH=143 HEIGHT=254 border=""0""></a></TD> <TD> <a WIDTH=303 HEIGHT=254 border=""0""></a></TD> </TR> </TABLE> <!-- End ImageReady Slices --> <table width=""486"" border=""0"" cellspacing=""0"" cellpadding=""0""> <tr> <td> <center> <b><font size=""5"" face=""Verdana, Arial, Helvetica, sans-serif""><i><a color=""#FFFF00"">DON'T MISS OFFER! GET AROUSED </center> </td> </tr> <tr> <td> <p>&nbsp;</p> <p><font class=""disclaimer"" face=""Arial, Helvetica, sans-serif"" size=""1"" color=""#FFFFFF"">Should you choose to not be contacted at this email address again, please click this link and enter the email address you wish to have removed. <a color=""#FFFFFF"">Click Here.</font></a><br> <br> This message is a commercial advertisement. It is compliant with all federal and state laws regarding email messages including the California Business and Professions Code. We have provided ""opt out"" email contact so you can be deleted from our mailing list. In addition we have provided the subject line ""ADV"" to provide you notification that this is a commercial advertisement for persons over 18yrs old - &copy;2001 WEBVIXENS</font></p> </td> </tr> </table> </center> <p align=""center"">&nbsp;</p> </BODY> </HTML>"
Normal,"[IMAGE] [IMAGE][IMAGE] [IMAGE] Yahoo! Warehouse - What's In It For You Visit= the Yahoo! Warehouse grand opening for deals on used, overstock, and clea= rance goods from distributors, liquidators, and individual sellers. Buy you= r favorite books, music, DVDs and videos, video games, computers, and elect= ronics at bargain prices! Got stuff to sell? It's a cinch to list your item= s and watch your business grow. Four Dimensions of Shopping The New Yaho= o! Shopping consists of Shopping, Warehouse, Auctions, and Classifieds. Se= lect the universal search box to find that perfect holiday gift, or make a = purchase for yourself or your business. Buy brand-name goods from catalog m= erchants or boutique storefronts; commodity items from discount sellers; on= e-of-a-kind collectibles on auction; or cars, pets, furnishings, and more f= rom sellers in your local area. Shop at Home for the Holidays Find great = gift ideas and seasonal specials at the Yahoo! Shopping Gift Center . Or vi= sit the Cosmo Gift Guide 's boutique collection of presents for the ladies = on your list, including Mom (plus treats for that special someone -- you)! = From Yahoo! Shopping and Cosmopolitan Magazine -- your favorite things for = the holidays or anytime. Desktop Essentials Made Easy One simple download= gets you started with three powerful Yahoo! Essentials : Yahoo! Messenger,= for instant messaging; Yahoo! Companion, a custom toolbar for your browser= ; and the Messenger Explorer bar, for access to messaging within your brows= er. Don't miss Yahoo! Messenger's new IMVironments -- liven up your instan= t chat with interactive themes like Dilbert, Hello Kitty, or the Super Smas= h Bros. Set up your Windows desktop for easy access to your favorite Yahoo!= services and preferences. More Great Ways to Yahoo! Short Takes * P= ut Your Resume Where the Jobs Are - Create an online resume and post it fo= r free on Yahoo! Careers -- thousands of jobs listings are just a click awa= y. Let employers find you. * Consumer Reports Auto Hub - Steer your way t= o expert, unbiased buying advice before you shop the showrooms. Get 90-day = access to over 150 in-depth vehicle reports for only $9.95. Sample one of t= he free reports on Yahoo! Autos, like this Best & Worst Used Cars . * Simp= lify Your Financial Life - Let Yahoo! Finance organize all your accounts, = calculate and monitor your net worth, and automatically create budgets that= save you money. Completely free! * Yahoo! Mortgage Center - Mortgage int= erest rates keep falling. Want to see how much you could save by refinancin= g? Apply online for a loan and receive up to four offers. Cool Stuff *= Shop for Thanksgiving - Everything you need for a feast at home or away: = cookbooks, centerpieces, tools for roasting and carving, and even the tende= rest turkeys. * Want to Sell Your Car? - Advertise your vehicle on Yahoo!= Auto Classifieds -- it's easy to reach an audience of millions. Only $14.9= 5 for 21 days. Use Yahoo! Wallet and our secure web submission form. * Fan= tasy NBA - What's bigger, badder, and better than Yahoo! Sports' free Fant= asy NBA? Premium add-ons that raise your game to a new level. Try the Fanta= sy NBA StatTracker, only $7.95 for an edge that lasts all season. Then, get= Wireless Access for those remote last-minute moves -- $3.95 buys you a sea= son's worth of mobile play. * Yahoo! Personals - Make a date, find a mate= . Membership is less than $20 a month. Join ClubConnect now and get your fi= rst month free. Offer available until November 30, 2001. Copyright ? 20= 01 Yahoo! Inc. All rights reserved. =09 =09 You received this email because your account information indicates that = you wish to be contacted about special offers, promotions and Yahoo! featur= es. If you do not want to receive further mailings from Yahoo! Delivers, u= nsubscribe by clicking here or by replying to this email. You may also mo= dify your delivery options at any time. To learn more about Yahoo!'s use= of personal information, including the use of web beacons in HTML-based e= mail, please read our Privacy Policy . =09"
Normal,"Dear Salomon Smith Barney Client: Your Salomon Smith Barney trade confirmation(s) has been delivered to Salomon Smith Barney Access for online viewing. To view your trade confirmation(s) online, click on the link below. You will be required to enter your Salomon Smith Barney Access User Name and Password. Note: If you cannot access your confirmation through the link provided in this e-mail, ""cut and paste"" or type the full URL into your browser. You can also choose to view your confirmations directly from your Salomon Smith Barney Access Portfolio page by clicking the Portfolio tab and selecting ""Confirms"". Any prospectuses related to these trade confirmations will be sent under separate cover. If you opted to receive your prospectuses online, you will receive an e-mail notice when they are available for online viewing. If you are experiencing difficulty when viewing your confirmation online, you may need to adjust your Adobe Acrobat Options settings or upgrade your Adobe Acrobat software. Please visit our Frequently Asked Questions area on Adobe Acrobat for assistance: If you have any questions or need any assistance viewing your trade confirmations online, please contact the Online Client Service Center at 1-800-221-3636 (available 24 hours, seven days a week). If you have questions about the trades that generated the confirms, please contact your Salomon Smith Barney Financial Consultant. Thank you. Salomon Smith Barney Please do not respond to this e-mail. Salomon Smith Barney Access is a registered service mark of Salomon Smith Barney Inc."
Normal,This request has been pending your approval for 33 days. Please click to review and act upon this request. Request ID : 000000000067320 Request Create Date : 10/11/01 10:24:53 AM Requested For : matt.smith@enron.com Resource Name : Risk Acceptance Forms Local Admin Rights - Permanent Resource Type : Applications
Normal,The report named: West NG Prices - Basis published as of 11/21/2001 is now available for viewing on the website. (Revision: 3)
Normal,"[IMAGE] [IMAGE] Phillip, Big news! Here's a great way to win prizes on iWon - iWon Casino! Play any of your favorite iWon Casino games to earn iWon Chips, then exchange your Chips for chances to win terrific weekly prizes - like a Panasonic DVD Player, a Bose Wave Radio and an Toshiba 19"" Color Television. It's that easy! [IMAGE] The more iWon Chips you earn, the more chances you have to win! Phillip, the iWon Casino has all your favorites: Slots, Video Poker, Blackjack, Craps, Roulette, Vegas Solitaire and more! Why not play a game right now? Click here. Good luck - and enjoy the iWon Casino! - The iWon Team [IMAGE] Forgot your member name? It is: Allen Forgot your iWon password? Click here. Please note: You must be signed into iWon in order to play iWon Casino games. You received this email because when you registered at iWon you agreed to receive email from us. To unsubscribe from one or more email categories, please click below. Please note, changes may take up to one week to process. If you're not signed in, you will need to do so before you can update your profile. Click here. [IMAGE]"
Normal,"AutoToolBox.net Newletter: November 2001 =09 AutoToolBox.net [IMAGE]Welcome to the Car Site For Car People! =09 [IMAGE]=09 [IMAGE]=09 BROWSE [IMAGE] Main Page [IMAGE] Car Buying [IMAGE] Used Ca= rs [IMAGE] Auto Loans [IMAGE] Car Insurance [IMAGE] Auto News [I= MAGE] DMV Map [IMAGE] Driving Directions [IMAGE] OUR PARTNERS = CanTire.com Carfax CarParts.com CarPrices The Tire Rack Warrant= ybynet [IMAGE] Welcome to the Car Site For Car People [IMAGE] We= try to give the average person a listing of the best resources on the web= related to cars and car buying. We've filtered out the hype and endless o= nline marketing to give you the leads to the most useful resources. [IMAG= E] New Car Buying Methods A guide to new money-saving online car-bu= ying resources. Learn about several interesting online car-buying methods. = What is the best way to buy a car online? Can the Internet somehow help peo= ple save money when buying a car? There are indeed ways to utilize the Int= ernet to shop for - and even buy - a less expensive car using the Internet= . Click here for more info [IMAGE] [IMAGE] Arrive At The Dealership = With A Pre-Approved Loan Did you know you can get tax-deductible auto= loans for new or used cars? Plus: An overview of various online financing = options. Sometimes the best way to go car shopping is with money in-hand to= serve as a bargaining tool. Sometimes it is a real pain to line up at the= bank to shop for loans. Click here for more info [IMAGE] [IMAGE] N= ews Line November USA: Toyota may extend zero-interest financing in U.= S. (Reuters) GERMANY: Porsche posts record profit, extends CEO contract (R= euters) ITALY: Lancia Thesis to lead Fiat luxury move (Reuters) HONG KONG= : INTERVIEW: Daimler sees big future in China, but cautious (Reuters) USA:= Ford scraps Explorer hybrid USA: Ford nears settlement in discrimation su= its - WSJ (Reuters) USA: GM to fold e-business unit back into company - WS= J (Reuters) USA: Ford names new Asia, Mazda chiefs in latest shakeup (Reut= ers) USA: US output down 12.5% YTD UK: Ricardo sets up motorsport divisio= n [IMAGE] =09 [IMAGE]=09 [IMAGE]=09 [IMAGE] TO UNSUBSCRIBE This e-mail was sent to pallen@enron.com If you rec= eived this e-mail at a different address, this e-mail message was forwarded= . If you do not wish to receive future e-mail offers, please hit the reply = button and let us know by typing the word ""REMOVE"" in the subject line. = =09"
Normal,This request has been pending your approval for 32 days. Please click to review and act upon this request. Request ID : 000000000067320 Request Create Date : 10/11/01 10:24:53 AM Requested For : matt.smith@enron.com Resource Name : Risk Acceptance Forms Local Admin Rights - Permanent Resource Type : Applications
Normal,"[IMAGE][IMAGE] Dear Phillip, Click here now to redeem your Rose Blossom Bud Vase by Lenox! [IMAGE] [IMAGE] [IMAGE] [IMAGE] Shipping and handling charges apply. Forgot your member name? It is: Allen Forgot your iWon password? Click here. You received this email because when you registered at iWon you agreed to receive email from us. To unsubscribe from one or more email categories, please click below. Please note, changes may take up to one week to process. If you're not signed in, you will need to do so before you can update your profile. Click here."
Normal,"[IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAG= E] [IMAGE] [IMAGE] [IMAGE] [IMAGE] Click here WorldCom Wireless pallen@en= ron.com [IMAGE] AT&T Wireless [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] pal= len@enron.com [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] No = Charge [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] Just about = everyone could use a cellphone today. Millions of people are already enjoy= ing the safety, convenience, and independence of owning one. Now it's nev= er been easier to get a Nokia, Motorola, or Ericsson cellphone...for FREE.= [IMAGE] [IMAGE] WorldCom Wireless and AT&T Wireless, two of the nation's= premier wireless service carriers have the unique ability to handle all o= f your cellular service needs, from coast-to-coast. [IMAGE] [IMAGE] Even= if you already own a cellphone, why not update to one that has the newest= features and technology or provide a phone for another family member? Wi= th WorldCom Wireless and AT&T Wireless, the phones are FREE plus we have m= ade the shopping experience simple and hassle-free! [IMAGE] [IMAGE] To ta= ke advantage of this limited time offer just click on the banner... [IMAGE= ] [IMAGE] If you do not wish to receive future mailings, click here t= o unsubscribe. =09 [IMAGE]"
Normal,"How are you ? When I saw this screen saver, I immediately thought about you I am in a harry, I promise you will love it!"
Normal,"[IMAGE] Fantasy Football Newsletter November 23, 2001 [IMAGE]Fantasy Sports [IMAGE]Fantasy Football [IMAGE]CBS SportsLine.com Welcome to another edition of the 2001 Fantasy Football Newsletter! The Fantasy Football newsletter will arrive in your e-mail inbox every Friday. We'll include news about the web site; tips on using all the features available; and answers to your player-related questions from the ""Gridiron Guru."" [IMAGE] Inside ? Thanksgiving Football ? Sortable Standings ? Gridiron Guru ? Tip of the Week [IMAGE] [IMAGE] [IMAGE] Thanksgiving Football Remember that two NFL games will be played on Thursday: Packers vs. Lions at 12:30 PM ET and Broncos vs. Cowboys at 4:05 PM ET. Fantasy 2001 players, if you have players from these four teams on your roster, they must have their final status (active or reserve) set 5 minutes before the start of their game. Please keep in mind that you also will not be able to enter any new add/drops for the week starting one hour prior to Thursday's first kickoff. Football Commissioner players, check with your league's commissioner to see how your lineup deadline is handled this week. Sortable Standings Did you know that every column on your Standings page is sortable? Click the category name at the top of any column to sort the report by the results of that category. In head- to-head leagues, the Standings report is displayed in order of the teams with the best win/loss percentage. However, you can click the PF (Points For) column to display the top point-scoring teams at the top; or the PA (Points Against) column to display, in descending order, the teams with the most fantasy points scored against them. Gridiron Guru Welcome to Gridiron Guru, where we'll answer your questions about players and offer Fantasy Football roster advice. We invite you to send your own scouting reports and comments on players to: gridguru@commissioner.com . You'll get the chance to be heard by thousands of Fantasy players just like yourself! Question - Marcus Howell Who would you start in Week 11: Brian Griese at Dallas or Jake Plummer at San Diego? Answer - GG Griese's receiving corps has been crippled by injuries this season, and with Rod Smith questionable with an ankle injury, the outlook gets dimmer. The Denver QB has been bothered by physical problems this year as well. Plummer seems like a better choice after a superb Week 10 outing. But remember that he was facing the 0-9 Lions, and Plummer has never been able to string many good performances together in the past. He will be facing a San Diego defense that will be primed for a good performance after getting burned badly by Oakland last week. Go with Griese, who should at least post respectable numbers at Dallas. Question - Eric Fernau Which three running backs should I start? I have Corey Dillon, Ricky Williams, Duce Staley, Priest Holmes and Garrison Hearst. Answer - GG Dillon is a must-start player every week. Holmes is facing a Seattle defense that looks good statistically, but will have a lot of trouble containing him on the outside. Staley should have little trouble ripping through the Washington front wall. It's hard to ignore Hearst at Indianapolis or Williams in any week, but we like Dillon, Holmes and Staley, especially the latter in an NFC East game. Question - Jay Rassat Who do I start this week at quarterback? I have Tom Brady, Aaron Brooks and Trent Green. The defenses they play against are all decent (N.O., N.E. and Seattle). Answer - GG Brady and Brooks square off against each other, and each is facing a secondary that can give up the big play. Green will be facing a Seattle team that won't offer much of a pass rush, but he is less explosive than Brooks or Brady. With Brady having the advantage of playing at home, and Drew Bledsoe looking over his shoulder, we'll go with the New England QB. Tip of the Week Ryan Carter, Watertown, CT: Ricky Watters' decision to not have shoulder surgery is bad news for him, but great news for people like me, who have Shaun Alexander. I would not be surprised to see Watters not play again this year. Ricky's a great back, and I wish him well, but you cannot replace a back like Alexander. This message has been provided free of charge and free of obligation. If you prefer not to receive emails of this nature please send an email to remove@commissioner.com . Do not respond to this email directly."
Normal,"_____________________DAVID COURSEY_____________________ UNLUCKY 13: MY TOP TECH TURKEYS OF ALL TIME It is sad that a fowl so noble--not to mention savory--has come to symbolize lame thinking and laughable losers. But alas, it has. And so in honor of our national holiday I've assembled a list of things that, well, I can't be thankful for. Once I've given you mine, why don't you give me yours? # _____________________NEWS ANALYSIS_____________________ Sylvia Carr GET READY TO SHOP... MS'S NEUKOM DEPARTS... FBI LISTENING IN... It's beginning to look a lot like Christmas...well, at least in the shopping malls, and probably at your favorite online stores, too. This holiday season, the biggest retail names are putting extra effort into making their online shops as good as their offline ones--and, unlike past years, in making your experience there as pleasurable as possible. _____________________EXPERT ADVICE_____________________ Eric Knorr BEST STUFF IN THE 'DIGITAL DECADE' WILL BE BEHIND THE SCENES Which technologies will matter most in the next ten years? Not XP, Xbox, or the Tablet PC. Try Office and back-end Web services. It may not sound sexy, but it'll help you get work done. Eric has the story. > > > > > Janice Chen GET A STEAL ON A CELL PHONE THAT'LL KEEP YOU IN CONTACT(S) If you fumble with your PDA every time you make a call, you need a cell phone that manages your contacts. A lot of high-end phones do this, but they're pricey. Janice finds an affordable phone that fits the bill. > > > > > Preston Gralla ENJOY THE WEEKEND! 3 FREE GAMES FOR YOUR HOLIDAY-PLAYING FUN Ah, Thanksgiving weekend. Time to eat too much turkey, watch too much football, kick back, relax...and play games. Preston rounds up three downloads that provide hours of fun--without costing a penny. > > > > > _____________________CRUCIAL CLICKS_____________________ Make sure you see these features on ZDNet today! DON'T MISS ZDNET'S HOLIDAY GIFT GUIDE CHECK OUT THE LATEST CD BURNERS GLOBAL E-BUSINESS: WALKING THE TALK ******************ELSEWHERE ON ZDNET!****************** Did you miss COMDEX? Get all the details in our special report. Don't miss top price drops from premier vendors at ZDNet Shopper. FREE trial offers from leading business and technology magazines. Find perfect presents in our Holiday Gift Guide. Check out the most popular notebooks, handhelds, cameras, and more. AnchorDesk comes to you free of charge as a service of ZDNet. On its companion Web site, AnchorDesk includes full details on the stories you see above, plus late-breaking news, links to in-depth information, and much more. Visit: http://www.anchordesk.com/ To subscribe, unsubscribe, or make changes to your subscription, please go to: We are sending this news alert to the address: pallen@ENRON.COM Please make sure to provide this address in all your e-mail messages to us. Thanks! Copyright ? 2001 ZD Inc. ZDNet is a registered service mark of ZD Inc. ZDNet Logo is a service mark of ZD Inc. ###"
